TimeStamp,FDR620,FDR623,FDR634,FDR640,FDR673,FDR726,FDR734,FDR767,FDR778,FDR781,FDR787,FDR792,FDR826,FDR859,FDR877,FDR881,FDR892,FDR899,FDR941,FDR953,FDR960,FDR963,FDR980,FDR1058,FDR1059,FDR1066,FDR1069,FDR1126,FDR1145,FDR1355,FDR1359,FDR3001,FDR1364,FDR1370,FDR1398,FDR1399,FDR1401,FDR1405,FDR1406,FDR1413,FDR1416,FDR1417,FDR1418,FDR1430,FDR1431,FDR1456,FDR1497,FDR1617,FDR1491,FDR1615,FDR1484,FDR1465,FDR1622,FDR1642,FDR1651,FDR1661,FDR1667,FDR1638,FDR1664,FDR1616,FDR1707,FDR1609,FDR1698,FDR1679,FDR1681,FDR3100,FDR1680,FDR1697,FDR3102,FDR3105,FDR998
2024/10/21 3:59:47,114.52,118.06,109.62,109.89,117.69,118.06,126.34,113.77,112.16,114.33,60.0301,60.0277,60.03,60.0328,60.0269,60.0319,60.0306,60.028,60.0277,60.0302,60.032,60.0295,60.0297,60.0282,60.0287,60.0297,60.03,60.0322,60.0298,60.0213000000001,60.0304,60.0301,60.0301,60.0296,60.0311,60.0279,60.0299,60.0265,60.0307,60.0294,60.0293,60.0291,60.0296,60.0296,60.0286,60.0283,60.0302,60.0293,60.0284,60.0303,60.0293,60.0287,60.028,60.0276,60.0303,60.0304,60.032,60.0286,60.0322,60.0327,60.0299,60.0314,60.0301,60.0305,60.0322,60.0261,60.0291,60.0275,60.0282,60.0302,60.0299
2024/10/21 3:59:47,114.51,117.99,123.32,114.58,118.1,118.01,109.6,110.45,116.49,114.5,60.0302,60.0258,60.0317,60.0326,60.0269,60.0327,60.0308,60.0296,60.0262,60.0311,60.0317,60.0295,60.0283,60.0271,60.0285,60.03,60.0298,60.0316,60.0264,60.0215000000001,60.0296,60.0281,60.0294,60.0283,60.04,60.0279,60.03,60.0274,60.0305,60.0289,60.0286,60.029,60.0297,60.029,60.0291,60.0286,60.0297,60.0287,60.029,60.0296,60.028,60.0274,60.0283,60.0273,60.0297,60.0292,60.0316,60.0297,60.027,60.0324,60.0292,60.0301,60.029,60.0298,60.0328,60.0239,60.0297,60.0285,60.0285,60.0303,60.0291
2024/10/21 3:59:47,114.5,117.94,107.04,111.26,117.15,118.46,125.6,113.74,115.9,114.32,60.0284,60.0329,60.0295,60.0318,60.0266,60.0309,60.0292,60.0304,60.028,60.0307,60.0318,60.0296,60.0303,60.0296,60.0281,60.03,60.0298,60.0316,60.0302,60.0217,60.0304,60.0272,60.0295,60.0288,60.0219,60.0282,60.0298,60.0372,60.0304,60.029,60.0287,60.0286,60.0297,60.0295,60.029,60.0282,60.0303,60.0276,60.0285,60.0291,60.0281090909091,60.0276,60.0283,60.0276,60.0301,60.0293,60.0318,60.0292,60.0328,60.0322,60.0305,60.0298,60.0289,60.0298,60.0319,60.0294,60.0298,60.0285,60.0285,60.0292,60.0293
2024/10/21 3:59:47,114.51,117.98,124.9,118.17,119.13,118.75,122.45,117.82,113.46,114.64,60.0297,60.0296,60.0307,60.031,60.0271,60.0312,60.0306,60.0291,60.0256,60.0301,60.0322,60.0296,60.0284,60.0255,60.0275,60.0289,60.0285,60.0312,60.0285,60.0219,60.029,60.0254,60.0296,60.0271,60.0415,60.0279,60.03,60.0235,60.031,60.0288,60.0279,60.0293,60.0283,60.0286,60.0295,60.0279,60.0285,60.0284,60.0286,60.0288,60.0282181818182,60.0274,60.0279,60.0279,60.0291,60.0288,60.0305,60.0287,60.0267,60.0309,60.0282,60.0294,60.0285,60.0298,60.0315,60.0265,60.0293,60.0279,60.0278,60.0288,60.0288909090909
2024/10/21 3:59:47,114.5,118.05,97.529,117.2,117.73,118.48,117.04,117.1,113.88,114.51,60.0269,60.0192,60.0302,60.0305,60.0282,60.0311,60.03,60.0288,60.0289,60.0313,60.031,60.0298,60.0293,60.0285,60.0282,60.028,60.0272,60.0306,60.0305,60.0220999999999,60.0294,60.0242,60.0288,60.0278,60.0261,60.0286,60.0295,60.037,60.03,60.0284,60.0278,60.0289,60.0291,60.0282,60.0292,60.029,60.0286,60.0294,60.0279,60.0283,60.0283272727273,60.0276,60.028,60.027,60.0294,60.0286,60.0306,60.0282,60.029,60.0307,60.0282,60.0286,60.0286,60.0303,60.031,60.0323,60.0293,60.0279,60.0284,60.0274,60.0284818181818
2024/10/21 3:59:47,114.5,118.06,127.1,121.62,117.52,118.04,122.52,115.2,111.84,114.62,60.0269,60.0213,60.0293,60.0295,60.0294,60.0315,60.0301,60.0288,60.0273,60.0306,60.0305,60.0295,60.0275,60.0282,60.0291,60.0284,60.0275,60.03,60.0274,60.0223000000001,60.0292,60.0222,60.0286,60.0256,60.0286,60.0302,60.0285,60.0186,60.0294,60.0282,60.027,60.0285,60.0299,60.0277,60.0291,60.0285,60.0283,60.0292,60.0287,60.0276,60.0284363636364,60.0283,60.0281,60.0281,60.0293,60.0283,60.0299,60.0292,60.0244,60.0298,60.0281,60.0283,60.0285,60.0294,60.0307,60.0323,60.0293,60.0284,60.0277,60.0276,60.0280727272727
2024/10/21 3:59:48,114.5,118.03,111.73,111.35,117.14,118.09,116.39,111.37,117.56,113.99,60.0265,60.0353,60.0296,60.0296,60.0289,60.0306,60.031,60.0287,60.0291,60.0302,60.0297,60.0295,60.0281,60.0291,60.0276,60.0282,60.0273,60.0289,60.029,60.0225,60.0281,60.0213,60.0291,60.0286,60.0283,60.0289,60.0283,60.0278,60.0293,60.0284,60.0276,60.028,60.0282,60.0274,60.029,60.028,60.028,60.0281,60.0289,60.03,60.0285454545455,60.028,60.0276,60.0282,60.0293,60.028,60.0289,60.0278,60.0274,60.0291,60.0287,60.0299,60.0276,60.0295,60.0291,60.03,60.028,60.0278,60.0287,60.0272,60.0276636363636
2024/10/21 3:59:48,114.5,118.02,112.56,119.84,117.96,118.3,121.76,115.58,113.24,114.38,60.0269,60.028,60.0289,60.0299,60.0288,60.0287,60.0292,60.0285,60.0294,60.0294,60.0294,60.0287,60.0278,60.029,60.0288,60.0283,60.0265,60.0285,60.026,60.0227,60.029,60.0217,60.0286,60.0276,60.0287,60.0282,60.0284,60.0275,60.0291,60.0281,60.0278,60.0274,60.0286,60.0275,60.0286,60.0286,60.0284,60.0265,60.0284,60.0299,60.0286545454546,60.0286,60.0282,60.0277,60.0289,60.0277,60.0288,60.028,60.0267,60.0282,60.0287,60.0277,60.0279,60.0291,60.028,60.0287,60.0287,60.0284,60.028,60.0276,60.0272545454545
2024/10/21 3:59:48,114.51,118.03,129.72,119.49,118.67,118.07,121.29,113.73,114.65,114.33,60.0274,60.0262,60.0293,60.0288,60.0295,60.0286,60.0299,60.029,60.0269,60.0286,60.0287,60.0287,60.0273,60.0288,60.0288,60.0282,60.0275,60.0278,60.0314,60.0228999999999,60.0277,60.0211,60.0281,60.0282,60.0265,60.0293,60.0286,60.0275,60.0275,60.0279,60.0279,60.0274,60.0284,60.0272,60.0283,60.0278,60.0276,60.0296,60.0279,60.0276,60.0287636363636,60.0288,60.0278,60.0283,60.0276,60.0279,60.0286,60.0272,60.0288,60.0284,60.0281,60.0277,60.0275,60.028,60.0272,60.0212,60.028,60.028,60.0281,60.0267,60.0268454545455
2024/10/21 3:59:48,114.5,118.04,108.08,123.86,118.03,118.16,100.01,111.82,114.17,114.49,60.0286,60.0312,60.0285,60.0288,60.0285,60.0283,60.0288,60.0295,60.0251,60.0282,60.0282,60.0275,60.0277,60.0286,60.0288,60.0272,60.0273,60.0274,60.0274,60.0231000000001,60.0274,60.0217,60.0278,60.0257,60.0209,60.0286,60.0279,60.0294,60.0282,60.0279,60.0282,60.0267,60.0265,60.0288,60.0282,60.0286,60.0273,60.0263,60.0278,60.0285,60.0288727272727,60.0285,60.028,60.0279,60.0282,60.0283,60.027,60.0283,60.0253,60.0273,60.0279,60.0277,60.0281,60.0283,60.0276,60.0247,60.0279,60.0277,60.0279,60.0271,60.0264363636364
