Time,601_volt,620_volt,623_volt,634_volt,640_volt,647_volt,670_volt,671_volt,673_volt,674_volt,686_volt
08:10.0,0,0.022003,-0.043999,0,0,0.022003,0.042999,0.021996,0,-0.108,-0.108
08:10.1,0,0.022003,-0.043999,0,0,0,0.042999,0.042999,0,-0.085999,-0.13
08:10.2,-0.021004,0.022003,-0.021996,0,0,0.022003,0.065002,0.021996,0,-0.085999,-0.108
08:10.3,0.021996,0.042999,-0.021996,0,0,0.022003,0.042999,0.021996,-0.022003,-0.108,-0.13
08:10.4,0.043999,0.042999,-0.021996,0,0,0.022003,0.042999,0.021996,0,-0.085999,-0.108
08:10.5,0,0.042999,-0.021996,0,0,0.022003,0.042999,0.021996,0,-0.085999,-0.108
08:10.6,-0.021004,0.022003,-0.043999,0,0,0,0.020996,0.021996,0,-0.108,-0.13
08:10.7,-0.021004,-0.085999,-0.043999,0,0,-0.021004,0.020996,0,-0.022003,-0.085999,-0.13
08:10.8,-0.021004,-0.151,-0.043999,0,0,0,0.020996,0.021996,-0.022003,-0.085999,-0.13
08:10.9,-0.043007,-0.151,-0.021996,-0.00099945,0,-0.021004,0.020996,0.021996,-0.022003,-0.085999,-0.13
08:11.0,-0.021004,-0.129,-0.021996,0,0,-0.065002,0.042999,0.021996,-0.022003,-0.085999,-0.13
08:11.1,-0.043007,-0.085999,-0.021996,-0.00099945,0,-0.021004,0.020996,0.021996,-0.022003,-0.108,-0.151
08:11.2,-0.043007,-0.064995,0,0,0,0.022003,0.020996,0,-0.022003,-0.108,-0.13
08:11.3,-0.043007,0,0,0,0,0.022003,0.042999,0,-0.022003,-0.108,-0.13
08:11.4,0.021996,0,0,0,0,0.022003,0.042999,0,-0.042999,-0.085999,-0.086998
08:11.5,-0.021004,0.065002,0,0,0,0,0.065002,-0.021004,-0.042999,NaN,-0.13
08:11.6,-0.064003,0.087006,0,0,0,-0.021004,0.065002,-0.021004,-0.065002,NaN,-0.13
08:11.7,-0.043007,0.13,0,0,0,-0.042999,0.065002,-0.042999,-0.065002,NaN,-0.13
08:11.8,-0.021004,0.108,0.021004,0,0,-0.021004,0.065002,-0.042999,-0.065002,NaN,-0.13
08:11.9,0,0.042999,-0.021996,0,0,0,0.020996,-0.042999,-0.042999,NaN,-0.151
