TimeStamp,FDR620,FDR623,FDR634,FDR640,FDR673,FDR726,FDR734,FDR767,FDR778,FDR781,FDR787,FDR792,FDR826,FDR859,FDR877,FDR881,FDR892,FDR899,FDR941,FDR953,FDR960,FDR963,FDR980,FDR1058,FDR1059,FDR1066,FDR1069,FDR1126,FDR1145,FDR1355,FDR1359,FDR3001,FDR1364,FDR1370,FDR1398,FDR1399,FDR1401,FDR1405,FDR1406,FDR1413,FDR1416,FDR1417,FDR1418,FDR1430,FDR1431,FDR1456,FDR1497,FDR1617,FDR1491,FDR1615,FDR1484,FDR1465,FDR1622,FDR1642,FDR1651,FDR1661,FDR1667,FDR1638,FDR1664,FDR1616,FDR1707,FDR1609,FDR1698,FDR1679,FDR1681,FDR3100,FDR1680,FDR1697,FDR3102,FDR3105,FDR998
00:22.9,1.6115,-1.7335,-1.9178,-1.7339,-1.7248,-1.7485,1.3565,1.6795,1.6238,1.6103,59.9753,59.9691,59.9762,59.9757,59.9747,59.9755,59.9765,59.9767,59.9752,59.9753,59.9758,59.9745,59.9752,59.9749,59.9749,59.975,59.9755,59.9759,59.9762,59.9752,59.9757,59.9775,59.9765,59.9721,59.9749,59.9753,59.975,59.9767,59.9765,59.9753,59.9749,59.9759,59.9752,59.9752,59.975,59.9723,59.9756,59.9754,59.9763,59.9751,59.975,59.9757,59.9758,59.9755,59.975,59.9758,59.976,59.9753,59.9733,59.9755,59.9747,59.9769,59.976,59.976,59.9757,59.9751,59.975,59.9751,59.9753,59.9742,59.9743
00:23.0,1.6074,-1.729,-1.7726,-1.7369,-1.717,-1.7271,1.3232,1.6162,1.6073,1.6105,59.974,59.9871,59.975,59.9747,59.9756,59.9758,59.9753,59.9748,59.9752,59.975,59.9755,59.9741,59.9749,59.9753,59.9741,59.9743,59.9753,59.9758,59.9764,59.9752,59.9756,59.9764,59.9758,59.976,59.9711,59.9751,59.9753,59.976,59.9756,59.9753,59.9745,59.9754,59.9759,59.9743,59.9739,59.975,59.9751,59.9738,59.9756,59.9766,59.9739,59.9745,59.9749,59.9752,59.9757,59.9755,59.9754,59.9743,59.9738,59.9755,59.9749,59.9747,59.9751,59.9754,59.9768,59.973,59.974,59.9751,59.975,59.9756,59.9748
00:23.1,1.6034,-1.7247,-1.5323,-1.6489,-1.7383,-1.7257,1.7309,1.611,1.6221,1.6074,59.9753,59.9761,59.9765,59.9754,59.9755,59.9751,59.9764,59.9757,59.9757,59.9763,59.976,59.9752,59.9759,59.9761,59.9734,59.9743,59.9753,59.9756,59.9747,59.975,59.9757,59.974,59.9768,59.9738,59.9713,59.975,59.975,59.9742,59.9753,59.9752,59.9748,59.9751,59.9753,59.9742,59.975,59.9746,59.9741,59.9742,59.9758,59.9755,59.9725,59.9748,59.975,59.9752,59.9749,59.9758,59.9758,59.9749,59.9743,59.9755,59.9741,59.9739,59.9753,59.9755,59.9758,59.9712,59.9751,59.9744,59.9747,59.9751,59.9747
00:23.2,1.5993,-1.7202,-2.3987,-1.734,-1.694,-1.7174,1.4155,1.5868,1.5752,1.5997,59.9747,59.9757,59.9754,59.9752,59.9756,59.9757,59.9751,59.9757,59.9748,59.9759,59.9756,59.9752,59.9745,59.9754,59.975,59.9754,59.9754,59.9752,59.9735,59.9744,59.9742,59.9759,59.9749,59.9695,59.982,59.9761,59.975,59.9753,59.9757,59.9748,59.9743,59.9756,59.9748,59.9742,59.974,59.9747,59.9748,59.9768,59.9754,59.9763,59.975,59.9756,59.9745,59.9761,59.9746,59.9751,59.9754,59.9743,59.9752,59.9752,59.9748,59.9755,59.9754,59.9747,59.9751,59.9712,59.9742,59.9746,59.974,59.9751,59.9752
00:23.3,1.5951,-1.7157,-2.1011,-1.7793,-1.7365,-1.7102,1.38,1.6245,1.6246,1.5936,59.9743,59.9701,59.9755,59.975,59.9774,59.9757,59.9756,59.9757,59.9773,59.9764,59.9752,59.9753,59.9757,59.9754,59.974,59.9743,59.9754,59.9755,59.9733,59.9755,59.9744,59.9762,59.9763,59.9774,59.9735,59.9756,59.9745,59.9747,59.9751,59.975,59.9747,59.9761,59.9746,59.9748,59.9748,59.9757,59.975,59.9768,59.9752,59.9732,59.9765,59.9748,59.9739,59.9749,59.9742,59.975,59.9752,59.9753,59.973,59.9747,59.975,59.9732,59.9745,59.9746,59.9751,59.9694,59.9749,59.9741,59.9735,59.9748,59.9753
00:23.4,1.591,-1.7112,-1.3847,-1.6773,-1.7015,-1.7204,1.4217,1.6294,1.6172,1.5964,59.9751,59.9817,59.9751,59.9753,59.9762,59.9752,59.9752,59.9757,59.9739,59.9751,59.9747,59.9756,59.9748,59.9745,59.9753,59.9745,59.975,59.9749,59.9765,59.9764,59.9752,59.9762,59.9747,59.9697,59.9742,59.9748,59.9751,59.9735,59.9741,59.9751,59.9735,59.9759,59.9755,59.974,59.9747,59.974,59.9738,59.9755,59.9744,59.9751,59.9748,59.9751,59.9738,59.975,59.9754,59.975,59.9751,59.9749,59.9753,59.9746,59.9745,59.9745,59.9747,59.9742,59.9752,59.9781,59.9749,59.9731,59.9741,59.9749,59.9746
00:23.5,1.5868,-1.7068,-1.8162,-1.5954,-1.7131,-1.6914,1.6113,1.4539,1.5581,1.5849,59.975,59.9687,59.9748,59.975,59.9759,59.9757,59.9753,59.9755,59.9732,59.9752,59.9749,59.9755,59.9757,59.9756,59.9748,59.9748,59.9747,59.9748,59.9722,59.976,59.9739,59.9797,59.9745,59.9771,59.9759,59.9741,59.9755,59.9743,59.9747,59.9752,59.9751,59.9758,59.9756,59.9749,59.9747,59.9765,59.9745,59.9757,59.974,59.9768,59.9735,59.9754,59.9738,59.9744,59.9749,59.9745,59.9747,59.9751,59.974,59.9744,59.9752,59.9764,59.9749,59.9739,59.9739,59.9806,59.9752,59.9746,59.9737,59.9754,59.9747
00:23.6,1.5829,-1.7023,-1.8912,-1.6858,-1.7222,-1.6989,1.3447,1.6628,1.5981,1.5789,59.9755,59.9777,59.9755,59.9752,59.975,59.9758,59.9749,59.9745,59.9758,59.9754,59.9745,59.9753,59.9748,59.9747,59.9749,59.9753,59.9747,59.9743,59.9711,59.9749,59.9743,59.9774,59.9743,59.9736,59.976,59.974,59.9746,59.9737,59.9746,59.9739,59.9746,59.975,59.9753,59.975,59.975,59.9752,59.9754,59.975,59.9733,59.976,59.9754,59.9751,59.9746,59.9743,59.9762,59.9746,59.9743,59.9749,59.9747,59.9742,59.9756,59.9774,59.9746,59.9749,59.9747,59.9778,59.9751,59.9741,59.9745,59.9757,59.9759
00:23.7,1.5784,-1.6977,-1.4429,-1.7287,-1.6672,-1.7077,1.6272,1.5198,1.5877,1.5839,59.9753,59.9708,59.9743,59.9745,59.9744,59.9745,59.9746,59.9747,59.9745,59.9751,59.9745,59.9759,59.9754,59.9739,59.975,59.9756,59.9756,59.9743,59.9725,59.9762,59.9746,59.9818,59.9741,59.9747,59.976,59.974,59.9748,59.9733,59.9753,59.9736,59.9749,59.9756,59.9759,59.9751,59.9751,59.9772,59.9755,59.9753,59.9738,59.9753,59.976,59.9758,59.9744,59.9746,59.9758,59.975,59.9743,59.9749,59.9759,59.9738,59.9757,59.9763,59.9753,59.9775,59.9743,59.9661,59.9753,59.9747,59.9745,59.9752,59.9749
00:23.8,1.5743,-1.6932,-2.0774,-1.865,-1.6763,-1.6993,1.6125,1.5351,1.5619,1.5645,59.9754,59.9793,59.9749,59.974,59.9741,59.9736,59.974,59.9752,59.9738,59.9756,59.9743,59.9759,59.975,59.9744,59.9751,59.975,59.9754,59.974,59.9732,59.9775,59.9733,59.9766,59.9735,59.9747,59.9779,59.974,59.9758,59.9746,59.9739,59.9749,59.9754,59.9748,59.9754,59.9757,59.9745,59.9741,59.9748,59.9754,59.9731,59.975,59.974,59.9756,59.975,59.9746,59.9751,59.9749,59.9736,59.9752,59.9751,59.9735,59.9754,59.9767,59.9748,59.9757,59.9738,59.9681,59.9756,59.9749,59.9747,59.9756,59.9752
